5
x  y  z
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
6 0 0
0 0 0
0 0 0
0 0 0
0 2 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 1 0
0 0 0
6 1 0
1 0 0
2 0 0
0 0 0
0 0 0
5 1 0
0 1 0
0 9 0
2 1 0
2 1 0
0 1 0
0 1 0
0 5 0
1 0 0
4 3 0
0 2 0
0 0 0
2 8 0
2 1 0
3 8 0
2 0 0
1 7 0
4 0 0
5 6 0
3 0 0
10 0 0
6 3 0
5 4 0
7 3 0
5 9 0
1 3 0
13 16 0
2 9 0
4 6 0
10 9 0
11 12 0
20 7 0
4 4 0
16 6 0
10 16 0
15 17 0
11 20 0
13 8 0
18 14 0
6 15 0
13 16 0
14 34 0
32 21 0
20 18 0
43 18 0
28 36 0
15 30 0
24 47 0
30 23 0
37 18 0
28 20 0
44 27 0
33 28 0
57 53 0
30 54 0
50 47 0
41 46 0
36 72 0
52 63 0
76 51 0
98 73 0
103 57 0
75 74 0
106 91 0
86 94 0
103 82 0
110 101 0
71 116 0
107 142 0
113 111 0
142 141 0
129 157 0
127 156 0
129 128 0
193 190 0
221 166 0
189 212 0
179 234 0
204 213 0
272 265 0
252 266 0
247 319 0
260 297 0
302 366 0
261 327 0
286 424 0
382 337 0
390 382 0
433 489 0
462 383 0
418 447 0
540 509 0
532 490 0
