5
x  y  z
428122 425727 443596
433981 434726 455898
436081 437993 469645
441257 442861 481585
445859 447939 495764
447003 449607 510026
453577 454188 523410
460307 456340 536552
462948 463797 549500
466459 467541 559719
468237 470589 578383
473531 471213 588990
475987 476048 604220
480996 483519 617010
484313 483743 632080
489756 488727 645073
490174 492290 656040
495907 493431 670057
499368 497352 683396
501019 503334 694385
506870 505083 705703
507544 508521 721727
512971 511358 733242
513070 513071 744139
517493 514812 757082
519476 522430 769285
523972 522451 780609
526854 524327 789529
527578 529013 802854
531569 530892 813393
532381 532123 820026
536170 533959 831502
536840 535662 843022
539092 539752 850205
538840 542850 862326
544532 544610 869130
542908 544821 878058
545818 547787 882590
547684 547879 887950
550182 547732 894917
549782 553025 905158
552918 552787 910643
551761 552822 918486
555146 554517 920906
552947 553613 924561
553105 555899 926759
555577 554976 931721
556667 554800 934862
558452 556695 939074
559259 556052 940323
560050 559458 941914
558097 556314 936866
559812 560596 940281
557054 559879 940461
558741 557942 939626
557289 557076 940046
556778 559437 932341
553500 557110 935958
555172 557019 930228
555575 556492 926285
553574 555392 926397
552356 554966 921088
555247 555273 915203
550892 552231 911517
552623 551267 904485
551318 548171 898294
548215 549167 892878
546544 545221 887463
545573 545426 876298
540585 541676 868639
538810 540026 862126
539849 536689 850357
539688 536558 839669
534320 535339 833174
531172 529812 823103
531659 529175 813766
527142 525952 802665
524638 525589 791587
522410 524170 779551
517889 520750 769225
517808 515702 758832
513623 512991 747151
510666 511706 734300
508085 507086 718332
504144 505673 707966
500823 500517 696344
498145 498990 683456
496688 496338 671136
491144 491611 655997
489501 488345 644593
482628 485938 630532
480551 482065 620369
476720 476987 604428
474566 472232 590212
472223 468847 577566
466591 464757 564817
461833 460769 548482
457957 456705 536840
455341 452828 524341
448938 449833 510826
447084 446713 494401
443495 441109 482801
437822 435823 469821
433504 432235 458042
428510 429118 443919
424347 422037 432035
421199 418709 418323
415526 415583 406825
412368 411637 395368
409021 404070 379319
402872 403195 371450
396489 399140 357322
392869 393239 346145
385529 389200 334495
382770 384362 324040
378680 379120 314118
374887 373541 301863
366733 368824 290574
363698 365374 280177
360744 360332 270440
353995 354639 259885
348686 350015 250350
345341 347488 240535
341937 342073 232729
337551 336888 221316
331185 331232 213271
327904 326746 205795
324214 324940 196747
318413 319993 189039
313455 314107 180458
307516 305457 172870
303048 303293 164426
298987 298019 159085
293272 294407 151088
289725 290098 145508
284810 283907 137820
277254 280081 132486
275606 275403 126690
270225 270873 119776
266831 265836 113955
259194 261852 109394
257435 257781 104064
253816 252526 98096
248413 247597 93360
244001 244932 88319
240563 239934 84442
235471 236072 80418
231245 231225 76563
226530 227032 71746
222937 221734 68567
217696 218713 64893
215098 214897 61192
209477 210945 57610
205328 206750 54506
201877 202410 51015
198359 197260 48407
192849 193023 45910
189892 188434 43406
185355 186714 41414
182827 180756 38656
178251 177563 36207
173566 174179 34039
171337 170578 32425
166723 167745 30280
163178 161826 28520
160073 158902 26787
157156 156210 25226
152842 152992 23489
149381 149444 22234
146532 145407 21000
142760 142617 19273
140409 138554 18267
136235 136721 17202
132671 132203 15917
