5
x  y  z
379576 381179 377820
384645 384858 384873
388160 388700 390349
394573 392726 392320
397114 398496 398316
402216 402332 402531
408145 407987 406739
411200 413473 412818
416151 417941 415918
421741 420646 422518
424702 426176 425505
430712 430745 430752
435288 434344 435544
439931 439160 440253
442257 443864 444339
448154 447970 447030
452664 454048 452471
456615 456209 457397
459354 459777 460561
465666 464888 464269
470044 470855 468545
473988 471786 473091
477013 475585 477518
481063 480896 480928
484389 485259 481975
489696 489711 486528
488751 492228 492153
495949 497392 496164
499352 498104 499802
502011 503072 501304
504312 505833 505917
511482 507368 508724
512970 513077 512852
514646 516003 514859
517215 518385 517121
520876 520180 522222
524834 525496 525226
529322 526443 527130
531750 530552 530201
532039 533388 533126
537682 535719 535432
537468 538372 538386
541188 539246 539101
542176 542591 542536
543538 543496 543770
546768 547069 546520
547669 547523 546364
550057 548725 549859
550959 551568 550933
554963 552771 553165
554576 554599 554770
556506 556782 556359
557396 558018 558265
558867 558078 556938
560069 558896 559459
558760 560314 560107
559958 561553 563667
562964 563481 562711
562466 562566 562770
562408 563042 562848
564333 562840 562735
564965 562997 563197
564236 565749 565541
561920 565245 564821
566216 562466 565801
560658 564732 563551
563537 563120 564360
563644 564044 563740
563704 562237 564144
562187 563113 561410
561185 561726 561262
561728 560344 558634
560792 558308 560149
558022 558366 557641
558667 555955 559558
556687 556258 555520
555194 553811 553058
552795 552798 553297
551727 551887 553200
551263 550950 549511
547443 547641 547902
544507 547216 544226
543868 541306 545708
543580 541974 541960
539819 538810 540630
538245 538501 537601
535226 534054 535203
533114 531352 532778
529019 528905 527750
527004 528524 528802
524031 523788 524014
520777 522599 521496
518473 519304 517269
514254 516087 514794
515479 513590 513354
508011 508949 511249
504615 506328 505423
504789 502398 503555
498196 498079 498637
493997 497656 496107
490675 491800 491730
487636 490404 486794
483714 485424 484996
480398 481934 479531
475149 478323 477744
473909 472998 472571
470014 469721 468526
465398 463457 463294
458906 459734 461785
457458 456729 457622
452786 453330 454165
447716 448331 447531
443124 445114 444351
440105 438548 438920
433696 434853 435038
431332 433045 431550
425023 426892 426375
421995 422968 422323
415625 416456 416262
413963 413818 412325
406925 407754 407889
405321 404144 403065
398226 398755 400106
393953 394820 393515
389622 387808 388084
384001 385643 383364
380829 378406 379354
373582 375294 374586
369045 371345 369488
365188 364627 365771
360547 359969 361034
354384 356272 356363
351632 348469 351067
344596 344723 346332
342266 340263 341841
335288 334663 336107
331501 331157 331795
326086 326037 326825
321189 322399 320869
316204 316797 317319
312424 312807 311572
308020 308356 307824
302109 301940 301177
296888 297630 296622
293833 291853 291959
288683 286767 287889
282829 282384 282479
279437 278248 278977
273972 274094 273376
269133 269630 270325
264787 266249 266294
258505 260952 259755
257080 256469 255788
251934 250657 249749
248452 246703 246811
242992 242332 242812
237214 238073 236346
232221 232338 233066
229868 228895 228992
225086 224072 225010
220453 220419 219344
215770 216285 215232
211098 212614 212990
207545 208972 208163
203298 203508 204379
198657 200025 200023
195459 197768 196301
192254 191164 191050
188587 187833 186495
182593 184493 183578
180303 179344 178571
176046 175933 176355
172429 171631 171541
168029 168782 168217
165334 165374 165167
160683 161557 161724
157692 158215 156930
153742 153503 154227
151202 150765 149996
147422 146304 146748
143328 143766 143656
139848 139617 139674
136189 136908 137874
133380 133695 134060
130177 131066 130131
126450 127982 127168
