5
x  y  z
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1 0 0
0 0 0
0 0 0
0 0 1
0 0 0
0 0 0
0 0 0
0 0 0
0 0 2
0 0 0
0 0 1
0 0 0
0 0 0
0 2 0
1 0 0
1 1 2
0 0 4
0 0 0
0 0 0
0 0 4
0 0 0
0 2 1
0 1 0
0 0 3
0 0 5
0 0 1
0 0 2
6 0 0
0 0 1
0 0 0
0 0 4
0 0 1
1 1 1
4 1 2
1 2 0
1 2 4
7 0 0
3 1 6
0 1 4
1 4 4
11 7 2
3 1 0
6 2 0
3 5 17
3 5 7
0 3 6
3 2 7
1 7 7
5 6 5
5 4 12
0 13 3
4 24 10
9 6 5
2 13 6
11 5 6
6 20 15
11 23 8
9 37 11
7 21 20
13 29 14
22 19 12
12 16 16
13 15 15
15 21 7
20 26 21
16 13 22
16 20 12
32 15 19
12 27 28
16 40 27
28 21 43
27 35 34
18 35 34
31 19 16
50 51 39
46 53 32
49 63 28
39 29 31
45 56 61
61 49 52
51 50 38
58 72 50
55 71 70
63 55 83
80 67 67
56 88 73
78 86 90
83 89 108
101 137 108
80 108 118
111 127 107
101 118 149
168 100 105
127 101 109
122 155 118
125 146 192
152 197 186
130 167 180
210 193 188
171 226 182
242 228 228
217 251 215
224 234 217
225 227 268
